   Data source: Cometa - EmgTools - 2.1.4 - Files: 0956~... - collection; EMG filter: 0 - 500 Hz     - 
Time(s)  ; L.RecFem(uV) ; L.VasLat(uV) ; L.VasMedO(uV) ; L.VasMedV(uV) 
  0.2590;  14.5278;  16.9838;   8.4763;  31.3190;
  0.2600;  14.6458;  15.0315;   9.8907;  32.3066;
  0.2610;  14.8800;  14.4604;   9.6272;  32.6361;
  0.2620;  16.1726;  15.6441;   9.7666;  32.4117;
  0.2630;  14.8956;  16.6555;   9.5381;  33.2735;
  0.2640;  13.6124;  16.9581;   8.0118;  32.9617;
  0.2650;  13.9654;  16.8693;   8.4019;  32.5908;
  0.2660;  13.5474;  18.1649;   9.3382;  32.8160;
  0.2670;  13.7958;  18.3147;   8.9576;  32.9379;
  0.2680;  13.6145;  17.1042;   9.9087;  33.3951;
  0.2690;  12.1817;  17.8433;   9.1369;  31.6175;
  0.2700;  11.3507;  16.5425;   8.3005;  30.5794;
  0.2710;  10.5670;  13.6762;   9.9107;  30.7987;
  0.2720;  11.0477;  13.4750;   8.9983;  29.7798;
  0.2730;  12.9825;  13.6523;   8.5976;  30.4491;
  0.2740;  13.3691;  13.8367;  10.0200;  30.9572;
  0.2750;  13.7548;  14.2052;  10.2161;  30.6330;
  0.2760;  14.4531;  13.8949;  10.2470;  30.8736;
  0.2770;  12.9939;  14.2232;   9.6513;  31.0867;
  0.2780;  12.9934;  14.6060;   9.0914;  31.8426;
  0.2790;  14.5756;  15.0717;   8.0957;  31.5988;
  0.2800;  14.3132;  16.5875;   8.2253;  32.4030;
  0.2810;  15.0036;  16.2488;  10.1565;  33.3360;
  0.2820;  15.6974;  14.3336;  10.0060;  32.1519;
  0.2830;  13.8732;  14.7681;   9.9438;  33.4698;
  0.2840;  13.2526;  15.2612;   8.9110;  34.3781;
  0.2850;  14.2830;  15.1221;   7.2412;  33.2349;
  0.2860;  13.9056;  16.2013;   7.6833;  33.5413;
  0.2870;  13.5360;  15.6344;   6.7096;  33.8625;
  0.2880;  14.8244;  15.0359;   7.7306;  34.2930;
  0.2890;  14.0392;  15.2627;   7.3646;  32.2842;
  0.2900;  11.6928;  15.0287;   3.4643;  29.1326;
  0.2910;  12.3404;  17.2513;   5.2119;  31.1643;
  0.2920;  13.5490;  17.9764;   6.6569;  33.5998;
  0.2930;  13.5715;  16.9094;   6.0281;  32.4873;
  0.2940;  13.5780;  18.6748;   6.7569;  32.1909;
  0.2950;  13.3667;  17.6175;   5.3688;  32.5579;
  0.2960;  13.2641;  15.0279;   6.3508;  31.0552;
  0.2970;  12.4581;  16.2288;   6.8819;  30.3762;
  0.2980;  12.8208;  16.0361;   6.3452;  30.9452;
  0.2990;  13.7170;  14.9222;   8.7052;  31.0640;
  0.3000;  13.0439;  17.2114;   8.3910;  32.4933;
  0.3010;  15.6307;  20.7678;   9.8374;  30.8527;
  0.3020;  17.5510;  22.8758;  11.5442;  27.4118;
  0.3030;  13.6143;  21.2263;   7.0920;  29.5867;
  0.3040;  12.1872;  18.0528;   5.7529;  30.2322;
  0.3050;  14.4051;  18.0236;   7.2928;  29.2983;
  0.3060;  14.2783;  19.0097;   6.7358;  31.8837;
  0.3070;  13.7026;  19.8283;   6.9164;  30.6018;
  0.3080;  14.6118;  19.4973;   6.8518;  28.6362;
